Dive Code, Board, Dive Description, DD
001A,1M,Forward Entry Straight,1.00
001A,3M,Forward Entry Straight,1.00
001A,5M,Forward Entry Straight,1.00
001A,7M,Forward Entry Straight,1.00
001A,10M,Forward Entry Straight,1.00
001B,1M,Forward Entry Pike,1.00
001B,3M,Forward Entry Pike,1.00
001B,5M,Forward Entry Pike,1.00
001B,7M,Forward Entry Pike,1.00
001B,10M,Forward Entry Pike,1.00
001C,1M,Forward Entry Tuck,1.00
001C,3M,Forward Entry Tuck,1.00
001C,5M,Forward Entry Tuck,1.00
001C,7M,Forward Entry Tuck,1.00
001C,10M,Forward Entry Tuck,1.00
001D,1M,Forward Entry Free,1.00
001D,3M,Forward Entry Free,1.00
001D,5M,Forward Entry Free,1.00
001D,7M,Forward Entry Free,1.00
001D,10M,Forward Entry Free,1.00
002A,1M,Back Entry Straight,1.00
002A,3M,Back Entry Straight,1.00
002A,5M,Back Entry Straight,1.00
002A,7M,Back Entry Straight,1.00
002A,10M,Back Entry Straight,1.00
002B,1M,Back Entry Pike,1.00
002B,3M,Back Entry Pike,1.00
002B,5M,Back Entry Pike,1.00
002B,7M,Back Entry Pike,1.00
002B,10M,Back Entry Pike,1.00
002C,1M,Back Entry Tuck,1.00
002C,3M,Back Entry Tuck,1.00
002C,5M,Back Entry Tuck,1.00
002C,7M,Back Entry Tuck,1.00
002C,10M,Back Entry Tuck,1.00
002D,1M,Back Entry Free,1.00
002D,3M,Back Entry Free,1.00
002D,5M,Back Entry Free,1.00
002D,7M,Back Entry Free,1.00
002D,10M,Back Entry Free,1.00
100A,1M,Forward Jump Straight,1.00
100A,3M,Forward Jump Straight,1.00
100A,5M,Forward Jump Straight,1.00
100A,7M,Forward Jump Straight,1.00
100A,10M,Forward Jump Straight,1.00
100B,1M,Forward Jump Pike,1.00
100B,3M,Forward Jump Pike,1.00
100B,5M,Forward Jump Pike,1.00
100B,7M,Forward Jump Pike,1.00
100B,10M,Forward Jump Pike,1.00
100C,1M,Forward Jump Tuck,1.00
100C,3M,Forward Jump Tuck,1.00
100C,5M,Forward Jump Tuck,1.00
100C,7M,Forward Jump Tuck,1.00
100C,10M,Forward Jump Tuck,1.00
100D,1M,Forward Jump Free,1.00
100D,3M,Forward Jump Free,1.00
100D,5M,Forward Jump Free,1.00
100D,7M,Forward Jump Free,1.00
100D,10M,Forward Jump Free,1.00
101A,1M,Forward Dive Straight,1.40
101A,3M,Forward Dive Straight,1.60
101A,5M,Forward Dive Straight,1.40
101A,7M,Forward Dive Straight,1.60
101A,10M,Forward Dive Straight,1.60
101B,1M,Forward Dive Pike,1.30
101B,3M,Forward Dive Pike,1.50
101B,5M,Forward Dive Pike,1.30
101B,7M,Forward Dive Pike,1.50
101B,10M,Forward Dive Pike,1.50
101C,1M,Forward Dive Tuck,1.20
101C,3M,Forward Dive Tuck,1.40
101C,5M,Forward Dive Tuck,1.20
101C,7M,Forward Dive Tuck,1.40
101C,10M,Forward Dive Tuck,1.40
102A,1M,Forward 1 Somersault Straight,1.60
102A,3M,Forward 1 Somersault Straight,1.70
102A,5M,Forward 1 Somersault Straight,1.60
102A,7M,Forward 1 Somersault Straight,1.70
102A,10M,Forward 1 Somersault Straight,1.80
102A,60M,Forward 1 Somersault Straight,2.80
102A,75M,Forward 1 Somersault Straight,3.30
102A,90M,Forward 1 Somersault Straight,4.00
102B,1M,Forward 1 Somersault Pike,1.50
102B,3M,Forward 1 Somersault Pike,1.60
102B,5M,Forward 1 Somersault Pike,1.50
102B,7M,Forward 1 Somersault Pike,1.60
102B,10M,Forward 1 Somersault Pike,1.70
102B,60M,Forward 1 Somersault Pike,2.60
102B,75M,Forward 1 Somersault Pike,3.10
102B,90M,Forward 1 Somersault Pike,3.70
102C,1M,Forward 1 Somersault Tuck,1.40
102C,3M,Forward 1 Somersault Tuck,1.50
102C,5M,Forward 1 Somersault Tuck,1.40
102C,7M,Forward 1 Somersault Tuck,1.50
102C,10M,Forward 1 Somersault Tuck,1.60
102C,60M,Forward 1 Somersault Tuck,2.50
102C,75M,Forward 1 Somersault Tuck,3.00
102C,90M,Forward 1 Somersault Tuck,3.50
102E,60M,Forward 1 Somersault Pos,2.70
102E,75M,Forward 1 Somersault Pos,3.20
103A,1M,Forward 1 1/2 Somersault Straight,2.00
103A,3M,Forward 1 1/2 Somersault Straight,1.90
103A,5M,Forward 1 1/2 Somersault Straight,2.00
103A,7M,Forward 1 1/2 Somersault Straight,1.90
103A,10M,Forward 1 1/2 Somersault Straight,1.90
103B,1M,Forward 1 1/2 Somersault Pike,1.70
103B,3M,Forward 1 1/2 Somersault Pike,1.60
103B,5M,Forward 1 1/2 Somersault Pike,1.70
103B,7M,Forward 1 1/2 Somersault Pike,1.60
103B,10M,Forward 1 1/2 Somersault Pike,1.60
103C,1M,Forward 1 1/2 Somersault Tuck,1.60
103C,3M,Forward 1 1/2 Somersault Tuck,1.50
103C,5M,Forward 1 1/2 Somersault Tuck,1.60
103C,7M,Forward 1 1/2 Somersault Tuck,1.50
103C,10M,Forward 1 1/2 Somersault Tuck,1.50
104A,1M,Forward 2 Somersault Straight,2.60
104A,3M,Forward 2 Somersault Straight,2.40
104A,5M,Forward 2 Somersault Straight,2.60
104A,7M,Forward 2 Somersault Straight,2.40
104A,10M,Forward 2 Somersault Straight,2.50
104B,1M,Forward 2 Somersault Pike,2.30
104B,3M,Forward 2 Somersault Pike,2.10
104B,5M,Forward 2 Somersault Pike,2.30
104B,7M,Forward 2 Somersault Pike,2.10
104B,10M,Forward 2 Somersault Pike,2.20
104B,60M,Forward 2 Somersault Pike,2.80
104B,75M,Forward 2 Somersault Pike,3.30
104B,90M,Forward 2 Somersault Pike,3.90
104C,1M,Forward 2 Somersault Tuck,2.20
104C,3M,Forward 2 Somersault Tuck,2.00
104C,5M,Forward 2 Somersault Tuck,2.20
104C,7M,Forward 2 Somersault Tuck,2.00
104C,10M,Forward 2 Somersault Tuck,2.10
104C,60M,Forward 2 Somersault Tuck,2.70
104C,75M,Forward 2 Somersault Tuck,3.20
104C,90M,Forward 2 Somersault Tuck,3.70
105A,3M,Forward 2 1/2 Somersault Straight,2.80
105A,10M,Forward 2 1/2 Somersault Straight,2.70
105B,1M,Forward 2 1/2 Somersault Pike,2.60
105B,3M,Forward 2 1/2 Somersault Pike,2.40
105B,5M,Forward 2 1/2 Somersault Pike,2.60
105B,7M,Forward 2 1/2 Somersault Pike,2.40
105B,10M,Forward 2 1/2 Somersault Pike,2.30
105C,1M,Forward 2 1/2 Somersault Tuck,2.40
105C,3M,Forward 2 1/2 Somersault Tuck,2.20
105C,5M,Forward 2 1/2 Somersault Tuck,2.40
105C,7M,Forward 2 1/2 Somersault Tuck,2.20
105C,10M,Forward 2 1/2 Somersault Tuck,2.10
106B,1M,Forward 3 Somersault Pike,3.20
106B,3M,Forward 3 Somersault Pike,2.80
106B,5M,Forward 3 Somersault Pike,3.20
106B,7M,Forward 3 Somersault Pike,2.80
106B,10M,Forward 3 Somersault Pike,3.00
106B,60M,Forward 3 Somersault Pike,3.90
106B,75M,Forward 3 Somersault Pike,4.40
106B,90M,Forward 3 Somersault Pike,5.00
106C,1M,Forward 3 Somersault Tuck,2.90
106C,3M,Forward 3 Somersault Tuck,2.50
106C,5M,Forward 3 Somersault Tuck,2.90
106C,7M,Forward 3 Somersault Tuck,2.50
106C,10M,Forward 3 Somersault Tuck,2.70
106C,60M,Forward 3 Somersault Tuck,3.50
106C,75M,Forward 3 Somersault Tuck,4.00
106C,90M,Forward 3 Somersault Tuck,4.50
107B,1M,Forward 3 1/2 Somersault Pike,3.30
107B,3M,Forward 3 1/2 Somersault Pike,3.10
107B,7M,Forward 3 1/2 Somersault Pike,3.10
107B,10M,Forward 3 1/2 Somersault Pike,3.00
107C,1M,Forward 3 1/2 Somersault Tuck,3.00
107C,3M,Forward 3 1/2 Somersault Tuck,2.80
107C,5M,Forward 3 1/2 Somersault Tuck,3.00
107C,7M,Forward 3 1/2 Somersault Tuck,2.80
107C,10M,Forward 3 1/2 Somersault Tuck,2.70
108B,3M,Forward 4 Somersault Pike,3.80
108B,10M,Forward 4 Somersault Pike,4.10
108B,60M,Forward 4 Somersault Pike,4.60
108B,75M,Forward 4 Somersault Pike,5.10
108B,90M,Forward 4 Somersault Pike,5.70
108C,1M,Forward 4 Somersault Tuck,4.00
108C,3M,Forward 4 Somersault Tuck,3.40
108C,10M,Forward 4 Somersault Tuck,3.70
108C,60M,Forward 4 Somersault Tuck,4.10
108C,75M,Forward 4 Somersault Tuck,4.60
108C,90M,Forward 4 Somersault Tuck,5.10
109B,3M,Forward 4 1/2 Somersault Pike,4.20
109B,10M,Forward 4 1/2 Somersault Pike,4.10
109C,1M,Forward 4 1/2 Somersault Tuck,4.30
109C,3M,Forward 4 1/2 Somersault Tuck,3.80
109C,10M,Forward 4 1/2 Somersault Tuck,3.70
112B,1M,Forward Flying 1 Somersault Pike,1.70
112B,3M,Forward Flying 1 Somersault Pike,1.80
112B,5M,Forward Flying 1 Somersault Pike,1.70
112B,7M,Forward Flying 1 Somersault Pike,1.80
112B,10M,Forward Flying 1 Somersault Pike,1.90
112B,60M,Forward Flying 1 Somersault Pike,2.80
112B,75M,Forward Flying 1 Somersault Pike,3.30
112B,90M,Forward Flying 1 Somersault Pike,3.90
112C,1M,Forward Flying 1 Somersault Tuck,1.60
112C,3M,Forward Flying 1 Somersault Tuck,1.70
112C,5M,Forward Flying 1 Somersault Tuck,1.60
112C,7M,Forward Flying 1 Somersault Tuck,1.70
112C,10M,Forward Flying 1 Somersault Tuck,1.80
112C,60M,Forward Flying 1 Somersault Tuck,2.70
112C,75M,Forward Flying 1 Somersault Tuck,3.20
112C,90M,Forward Flying 1 Somersault Tuck,3.70
113B,1M,Forward Flying 1 1/2 Somersault Pike,1.90
113B,3M,Forward Flying 1 1/2 Somersault Pike,1.80
113B,5M,Forward Flying 1 1/2 Somersault Pike,1.90
113B,7M,Forward Flying 1 1/2 Somersault Pike,1.80
113B,10M,Forward Flying 1 1/2 Somersault Pike,1.80
113C,1M,Forward Flying 1 1/2 Somersault Tuck,1.80
113C,3M,Forward Flying 1 1/2 Somersault Tuck,1.70
113C,5M,Forward Flying 1 1/2 Somersault Tuck,1.80
113C,7M,Forward Flying 1 1/2 Somersault Tuck,1.70
113C,10M,Forward Flying 1 1/2 Somersault Tuck,1.70
114B,5M,Forward Flying 2 Somersault Pike,2.50
114B,7M,Forward Flying 2 Somersault Pike,2.30
114B,10M,Forward Flying 2 Somersault Pike,2.40
114B,60M,Forward Flying 2 Somersault Pike,3.00
114B,75M,Forward Flying 2 Somersault Pike,3.50
114B,90M,Forward Flying 2 Somersault Pike,4.10
114C,5M,Forward Flying 2 Somersault Tuck,2.40
114C,7M,Forward Flying 2 Somersault Tuck,2.20
114C,10M,Forward Flying 2 Somersault Tuck,2.30
114C,60M,Forward Flying 2 Somersault Tuck,2.90
114C,75M,Forward Flying 2 Somersault Tuck,3.40
114C,90M,Forward Flying 2 Somersault Tuck,3.90
115B,3M,Forward Flying 2 1/2 Somersault Pike,2.70
115B,10M,Forward Flying 2 1/2 Somersault Pike,2.60
115C,3M,Forward Flying 2 1/2 Somersault Tuck,2.50
115C,7M,Forward Flying 2 1/2 Somersault Tuck,2.50
115C,10M,Forward Flying 2 1/2 Somersault Tuck,2.40
116B,60M,Forward Flying 3 Somersault Pike,4.20
116B,75M,Forward Flying 3 Somersault Pike,4.70
116B,90M,Forward Flying 3 Somersault Pike,5.30
116C,60M,Forward Flying 3 Somersault Tuck,3.80
116C,75M,Forward Flying 3 Somersault Tuck,4.30
116C,90M,Forward Flying 3 Somersault Tuck,4.80
200A,1M,Back Jump Straight,1.00
200A,3M,Back Jump Straight,1.00
200A,5M,Back Jump Straight,1.00
200A,7M,Back Jump Straight,1.00
200A,10M,Back Jump Straight,1.00
200B,1M,Back Jump Pike,1.00
200B,3M,Back Jump Pike,1.00
200B,5M,Back Jump Pike,1.00
200B,7M,Back Jump Pike,1.00
200B,10M,Back Jump Pike,1.00
200C,1M,Back Jump Tuck,1.00
200C,3M,Back Jump Tuck,1.00
200C,5M,Back Jump Tuck,1.00
200C,7M,Back Jump Tuck,1.00
200C,10M,Back Jump Tuck,1.00
200D,1M,Back Jump Free,1.00
200D,3M,Back Jump Free,1.00
200D,5M,Back Jump Free,1.00
200D,7M,Back Jump Free,1.00
200D,10M,Back Jump Free,1.00
201A,1M,Back Dive Straight,1.70
201A,3M,Back Dive Straight,1.90
201A,5M,Back Dive Straight,1.70
201A,7M,Back Dive Straight,1.90
201A,10M,Back Dive Straight,1.90
201B,1M,Back Dive Pike,1.60
201B,3M,Back Dive Pike,1.80
201B,5M,Back Dive Pike,1.60
201B,7M,Back Dive Pike,1.80
201B,10M,Back Dive Pike,1.80
201C,1M,Back Dive Tuck,1.50
201C,3M,Back Dive Tuck,1.70
201C,5M,Back Dive Tuck,1.50
201C,7M,Back Dive Tuck,1.70
201C,10M,Back Dive Tuck,1.70
202A,1M,Back 1 Somersault Straight,1.70
202A,3M,Back 1 Somersault Straight,1.80
202A,5M,Back 1 Somersault Straight,1.70
202A,7M,Back 1 Somersault Straight,1.80
202A,10M,Back 1 Somersault Straight,1.90
202A,60M,Back 1 Somersault Straight,2.70
202A,75M,Back 1 Somersault Straight,3.20
202A,90M,Back 1 Somersault Straight,4.40
202B,1M,Back 1 Somersault Pike,1.60
202B,3M,Back 1 Somersault Pike,1.70
202B,5M,Back 1 Somersault Pike,1.60
202B,7M,Back 1 Somersault Pike,1.70
202B,10M,Back 1 Somersault Pike,1.80
202B,60M,Back 1 Somersault Pike,2.60
202B,75M,Back 1 Somersault Pike,3.10
202B,90M,Back 1 Somersault Pike,3.70
202C,1M,Back 1 Somersault Tuck,1.50
202C,3M,Back 1 Somersault Tuck,1.60
202C,5M,Back 1 Somersault Tuck,1.50
202C,7M,Back 1 Somersault Tuck,1.60
202C,10M,Back 1 Somersault Tuck,1.70
202C,60M,Back 1 Somersault Tuck,2.50
202C,75M,Back 1 Somersault Tuck,3.00
202C,90M,Back 1 Somersault Tuck,3.50
202E,60M,Back 1 Somersault Pos,2.60
202E,75M,Back 1 Somersault Pos,3.10
203A,1M,Back 1 1/2 Somersault Straight,2.50
203A,3M,Back 1 1/2 Somersault Straight,2.40
203A,5M,Back 1 1/2 Somersault Straight,2.50
203A,7M,Back 1 1/2 Somersault Straight,2.40
203A,10M,Back 1 1/2 Somersault Straight,2.40
203B,1M,Back 1 1/2 Somersault Pike,2.30
203B,3M,Back 1 1/2 Somersault Pike,2.20
203B,5M,Back 1 1/2 Somersault Pike,2.30
203B,7M,Back 1 1/2 Somersault Pike,2.20
203B,10M,Back 1 1/2 Somersault Pike,2.20
203C,1M,Back 1 1/2 Somersault Tuck,2.00
203C,3M,Back 1 1/2 Somersault Tuck,1.90
203C,5M,Back 1 1/2 Somersault Tuck,2.00
203C,7M,Back 1 1/2 Somersault Tuck,1.90
203C,10M,Back 1 1/2 Somersault Tuck,1.90
204A,3M,Back 2 Somersault Straight,2.50
204A,7M,Back 2 Somersault Straight,2.50
204A,10M,Back 2 Somersault Straight,2.60
204A,60M,Back 2 Somersault Straight,3.30
204B,1M,Back 2 Somersault Pike,2.50
204B,3M,Back 2 Somersault Pike,2.30
204B,5M,Back 2 Somersault Pike,2.50
204B,7M,Back 2 Somersault Pike,2.30
204B,10M,Back 2 Somersault Pike,2.40
204B,60M,Back 2 Somersault Pike,3.10
204B,75M,Back 2 Somersault Pike,3.60
204B,90M,Back 2 Somersault Pike,4.20
204C,1M,Back 2 Somersault Tuck,2.20
204C,3M,Back 2 Somersault Tuck,2.00
204C,5M,Back 2 Somersault Tuck,2.20
204C,7M,Back 2 Somersault Tuck,2.00
204C,10M,Back 2 Somersault Tuck,2.10
204C,60M,Back 2 Somersault Tuck,2.80
204C,75M,Back 2 Somersault Tuck,3.30
204C,90M,Back 2 Somersault Tuck,3.80
205A,10M,Back 2 1/2 Somersault Straight,3.30
205B,1M,Back 2 1/2 Somersault Pike,3.20
205B,3M,Back 2 1/2 Somersault Pike,3.00
205B,5M,Back 2 1/2 Somersault Pike,3.20
205B,7M,Back 2 1/2 Somersault Pike,3.00
205B,10M,Back 2 1/2 Somersault Pike,2.90
205C,1M,Back 2 1/2 Somersault Tuck,3.00
205C,3M,Back 2 1/2 Somersault Tuck,2.80
205C,5M,Back 2 1/2 Somersault Tuck,3.00
205C,7M,Back 2 1/2 Somersault Tuck,2.80
205C,10M,Back 2 1/2 Somersault Tuck,2.70
206B,1M,Back 3 Somersault Pike,3.20
206B,3M,Back 3 Somersault Pike,2.80
206B,5M,Back 3 Somersault Pike,3.20
206B,7M,Back 3 Somersault Pike,2.80
206B,10M,Back 3 Somersault Pike,3.00
206B,60M,Back 3 Somersault Pike,4.00
206B,75M,Back 3 Somersault Pike,4.50
206B,90M,Back 3 Somersault Pike,5.10
206C,1M,Back 3 Somersault Tuck,2.90
206C,3M,Back 3 Somersault Tuck,2.50
206C,5M,Back 3 Somersault Tuck,2.90
206C,7M,Back 3 Somersault Tuck,2.50
206C,10M,Back 3 Somersault Tuck,2.70
206C,60M,Back 3 Somersault Tuck,3.80
206C,75M,Back 3 Somersault Tuck,4.30
206C,90M,Back 3 Somersault Tuck,4.80
207B,3M,Back 3 1/2 Somersault Pike,3.90
207B,10M,Back 3 1/2 Somersault Pike,3.60
207C,3M,Back 3 1/2 Somersault Tuck,3.60
207C,7M,Back 3 1/2 Somersault Tuck,3.50
207C,10M,Back 3 1/2 Somersault Tuck,3.30
208B,3M,Back 4 Somersault Pike,3.70
208B,5M,Back 4 Somersault Pike,4.10
208B,7M,Back 4 Somersault Pike,4.20
208B,10M,Back 4 Somersault Pike,4.10
208B,60M,Back 4 Somersault Pike,4.80
208B,75M,Back 4 Somersault Pike,5.30
208B,90M,Back 4 Somersault Pike,5.90
208C,3M,Back 4 Somersault Tuck,3.40
208C,5M,Back 4 Somersault Tuck,4.10
208C,7M,Back 4 Somersault Tuck,3.90
208C,10M,Back 4 Somersault Tuck,3.80
208C,60M,Back 4 Somersault Tuck,4.60
208C,75M,Back 4 Somersault Tuck,5.10
208C,90M,Back 4 Somersault Tuck,5.60
209B,3M,Back 4 1/2 Somersault Pike,4.70
209B,10M,Back 4 1/2 Somersault Pike,4.50
209C,3M,Back 4 1/2 Somersault Tuck,4.40
209C,10M,Back 4 1/2 Somersault Tuck,4.20
210B,60M,Back Flying Dive Pike,5.70
210B,75M,Back Flying Dive Pike,6.20
210B,90M,Back Flying Dive Pike,6.80
210C,60M,Back Flying Dive Tuck,5.50
210C,75M,Back Flying Dive Tuck,6.00
210C,90M,Back Flying Dive Tuck,6.50
212B,1M,Back Flying 1 Somersault Pike,1.70
212B,3M,Back Flying 1 Somersault Pike,1.80
212B,5M,Back Flying 1 Somersault Pike,1.70
212B,7M,Back Flying 1 Somersault Pike,1.80
212B,10M,Back Flying 1 Somersault Pike,1.90
212B,60M,Back Flying 1 Somersault Pike,2.70
212B,75M,Back Flying 1 Somersault Pike,3.20
212B,90M,Back Flying 1 Somersault Pike,3.80
212C,1M,Back Flying 1 Somersault Tuck,1.60
212C,3M,Back Flying 1 Somersault Tuck,1.70
212C,5M,Back Flying 1 Somersault Tuck,1.60
212C,7M,Back Flying 1 Somersault Tuck,1.70
212C,10M,Back Flying 1 Somersault Tuck,1.80
212C,60M,Back Flying 1 Somersault Tuck,2.60
212C,75M,Back Flying 1 Somersault Tuck,3.10
212C,90M,Back Flying 1 Somersault Tuck,3.60
213B,5M,Back Flying 1 1/2 Somersault Pike,2.50
213B,7M,Back Flying 1 1/2 Somersault Pike,2.40
213B,10M,Back Flying 1 1/2 Somersault Pike,2.40
213C,1M,Back Flying 1 1/2 Somersault Tuck,2.20
213C,3M,Back Flying 1 1/2 Somersault Tuck,2.10
213C,5M,Back Flying 1 1/2 Somersault Tuck,2.20
213C,7M,Back Flying 1 1/2 Somersault Tuck,2.10
213C,10M,Back Flying 1 1/2 Somersault Tuck,2.10
214B,60M,Back Flying 2 Somersault Pike,3.30
214B,75M,Back Flying 2 Somersault Pike,3.80
214B,90M,Back Flying 2 Somersault Pike,4.40
214C,1M,Back Flying 2 Somersault Tuck,2.40
214C,3M,Back Flying 2 Somersault Tuck,2.20
214C,5M,Back Flying 2 Somersault Tuck,2.40
214C,7M,Back Flying 2 Somersault Tuck,2.20
214C,10M,Back Flying 2 Somersault Tuck,2.30
214C,60M,Back Flying 2 Somersault Tuck,3.00
214C,75M,Back Flying 2 Somersault Tuck,3.50
214C,90M,Back Flying 2 Somersault Tuck,4.00
215B,3M,Back Flying 2 1/2 Somersault Pike,3.30
215C,3M,Back Flying 2 1/2 Somersault Tuck,3.10
216B,60M,Back Flying 3 Somersault Pike,4.30
216B,75M,Back Flying 3 Somersault Pike,4.80
216B,90M,Back Flying 3 Somersault Pike,5.40
216C,60M,Back Flying 3 Somersault Tuck,4.10
216C,75M,Back Flying 3 Somersault Tuck,4.60
216C,90M,Back Flying 3 Somersault Tuck,5.10
300A,1M,Reverse Jump Straight,1.00
300A,3M,Reverse Jump Straight,1.00
300A,5M,Reverse Jump Straight,1.00
300A,7M,Reverse Jump Straight,1.00
300A,10M,Reverse Jump Straight,1.00
300B,1M,Reverse Jump Pike,1.00
300B,3M,Reverse Jump Pike,1.00
300B,5M,Reverse Jump Pike,1.00
300B,7M,Reverse Jump Pike,1.00
300B,10M,Reverse Jump Pike,1.00
300C,1M,Reverse Jump Tuck,1.00
300C,3M,Reverse Jump Tuck,1.00
300C,5M,Reverse Jump Tuck,1.00
300C,7M,Reverse Jump Tuck,1.00
300C,10M,Reverse Jump Tuck,1.00
300D,1M,Reverse Jump Free,1.00
300D,3M,Reverse Jump Free,1.00
300D,5M,Reverse Jump Free,1.00
300D,7M,Reverse Jump Free,1.00
300D,10M,Reverse Jump Free,1.00
301A,1M,Reverse Dive Straight,1.80
301A,3M,Reverse Dive Straight,2.00
301A,5M,Reverse Dive Straight,1.80
301A,7M,Reverse Dive Straight,2.00
301A,10M,Reverse Dive Straight,2.00
301B,1M,Reverse Dive Pike,1.70
301B,3M,Reverse Dive Pike,1.90
301B,5M,Reverse Dive Pike,1.70
301B,7M,Reverse Dive Pike,1.90
301B,10M,Reverse Dive Pike,1.90
301C,1M,Reverse Dive Tuck,1.60
301C,3M,Reverse Dive Tuck,1.80
301C,5M,Reverse Dive Tuck,1.60
301C,7M,Reverse Dive Tuck,1.80
301C,10M,Reverse Dive Tuck,1.80
302A,1M,Reverse 1 Somersault Straight,1.80
302A,3M,Reverse 1 Somersault Straight,1.90
302A,5M,Reverse 1 Somersault Straight,1.80
302A,7M,Reverse 1 Somersault Straight,1.90
302A,10M,Reverse 1 Somersault Straight,2.00
302A,60M,Reverse 1 Somersault Straight,2.80
302A,75M,Reverse 1 Somersault Straight,3.30
302B,1M,Reverse 1 Somersault Pike,1.70
302B,3M,Reverse 1 Somersault Pike,1.80
302B,5M,Reverse 1 Somersault Pike,1.70
302B,7M,Reverse 1 Somersault Pike,1.80
302B,10M,Reverse 1 Somersault Pike,1.90
302B,60M,Reverse 1 Somersault Pike,2.70
302B,75M,Reverse 1 Somersault Pike,3.20
302B,90M,Reverse 1 Somersault Pike,3.80
302C,1M,Reverse 1 Somersault Tuck,1.60
302C,3M,Reverse 1 Somersault Tuck,1.70
302C,5M,Reverse 1 Somersault Tuck,1.60
302C,7M,Reverse 1 Somersault Tuck,1.70
302C,10M,Reverse 1 Somersault Tuck,1.80
302C,60M,Reverse 1 Somersault Tuck,2.60
302C,75M,Reverse 1 Somersault Tuck,3.10
302C,90M,Reverse 1 Somersault Tuck,3.60
302E,60M,Reverse 1 Somersault Pos,2.70
302E,75M,Reverse 1 Somersault Pos,3.20
303A,1M,Reverse 1 1/2 Somersault Straight,2.70
303A,3M,Reverse 1 1/2 Somersault Straight,2.60
303A,5M,Reverse 1 1/2 Somersault Straight,2.70
303A,7M,Reverse 1 1/2 Somersault Straight,2.60
